"Date","Price","Open","High","Low","Vol.","Change %"
"12-11-2019","6.020","6.020","6.020","6.020","","-0.99%"
"11-11-2019","6.080","6.080","6.080","6.080","","-0.90%"
"08-11-2019","6.135","6.135","6.135","6.135","","0.66%"
"07-11-2019","6.095","6.095","6.095","6.095","","-0.97%"
"06-11-2019","6.155","6.155","6.155","6.155","","-0.97%"
"05-11-2019","6.215","6.215","6.215","6.215","","-1.35%"
"04-11-2019","6.300","6.300","6.300","6.300","","-0.40%"
"01-11-2019","6.325","6.325","6.325","6.325","0.25K","1.36%"
"31-10-2019","6.240","6.240","6.240","6.240","","1.38%"
"30-10-2019","6.155","6.155","6.155","6.155","","-2.30%"
"29-10-2019","6.300","6.300","6.300","6.300","","-0.40%"
"28-10-2019","6.325","6.325","6.325","6.325","","-1.79%"
"25-10-2019","6.440","6.440","6.440","6.440","","-1.98%"
"24-10-2019","6.570","6.570","6.570","6.570","","-0.68%"
"23-10-2019","6.615","6.615","6.615","6.615","","-1.71%"
"22-10-2019","6.730","6.730","6.730","6.730","","-1.82%"
"21-10-2019","6.855","6.855","6.855","6.855","","-1.01%"
"18-10-2019","6.925","6.925","6.925","6.925","","-1.63%"
"17-10-2019","7.040","7.040","7.040","7.040","0.03K","0.72%"
"16-10-2019","6.990","6.990","6.990","6.990","","20.00%"
"15-10-2019","5.825","5.825","5.825","5.825","","0.00%"
"14-10-2019","5.825","5.825","5.825","5.825","","0.09%"
"11-10-2019","5.820","5.820","5.820","5.820","","0.00%"
"10-10-2019","5.820","5.820","5.820","5.820","","0.43%"
"09-10-2019","5.795","5.795","5.795","5.795","","-0.09%"
"08-10-2019","5.800","5.800","5.800","5.800","","0.87%"
"07-10-2019","5.750","5.750","5.750","5.750","","0.44%"
"04-10-2019","5.725","5.725","5.725","5.725","","-0.43%"
"03-10-2019","5.750","5.750","5.750","5.750","","0.79%"
"02-10-2019","5.705","5.705","5.705","5.705","","-0.95%"
"01-10-2019","5.760","5.760","5.760","5.760","","1.23%"
"30-09-2019","5.690","5.690","5.690","5.690","","-1.04%"
"27-09-2019","5.750","5.750","5.750","5.750","","0.79%"
"26-09-2019","5.705","5.705","5.705","5.705","","1.88%"
"25-09-2019","5.600","5.600","5.600","5.600","","-1.58%"
"24-09-2019","5.690","5.690","5.690","5.690","","-1.04%"
"23-09-2019","5.750","5.750","5.750","5.750","","-4.09%"
"20-09-2019","5.995","5.995","5.995","5.995","","2.92%"
"19-09-2019","5.825","5.825","5.825","5.825","","-1.19%"
"18-09-2019","5.895","5.895","5.895","5.895","0.10K","-3.91%"
"17-09-2019","6.135","6.135","6.135","6.135","","-6.12%"
"16-09-2019","6.535","6.535","6.535","6.535","","42.53%"
"13-09-2019","4.585","4.585","4.585","4.585","","0.33%"
"12-09-2019","4.570","4.570","4.570","4.570","","0.00%"
"11-09-2019","4.570","4.570","4.570","4.570","","0.99%"
"10-09-2019","4.525","4.525","4.525","4.525","","0.44%"
"09-09-2019","4.505","4.505","4.505","4.505","","0.67%"
"06-09-2019","4.475","4.475","4.475","4.475","","0.00%"
"05-09-2019","4.475","4.475","4.475","4.475","","0.56%"
"04-09-2019","4.450","4.450","4.450","4.450","","-2.41%"
"03-09-2019","4.560","4.560","4.560","4.560","","-2.36%"
"30-08-2019","4.670","4.670","4.670","4.670","","0.43%"
"29-08-2019","4.650","4.650","4.650","4.650","","1.64%"
"28-08-2019","4.575","4.575","4.575","4.575","","0.33%"
"27-08-2019","4.560","4.560","4.560","4.560","","-0.22%"
"26-08-2019","4.570","4.570","4.570","4.570","","0.00%"
"23-08-2019","4.570","4.570","4.570","4.570","","-0.44%"
"22-08-2019","4.590","4.590","4.590","4.590","","-2.24%"
"21-08-2019","4.695","4.695","4.695","4.695","","-0.11%"
"20-08-2019","4.700","4.700","4.700","4.700","","0.43%"
"19-08-2019","4.680","4.680","4.680","4.680","","-0.95%"
"16-08-2019","4.725","4.725","4.725","4.725","","9.37%"
"15-08-2019","4.320","4.320","4.320","4.320","","0.00%"
"14-08-2019","4.320","4.320","4.320","4.320","","0.12%"
"13-08-2019","4.315","4.315","4.315","4.315","","0.00%"
"12-08-2019","4.315","4.315","4.315","4.315","","0.00%"
"09-08-2019","4.315","4.315","4.315","4.315","","0.00%"
"08-08-2019","4.315","4.315","4.315","4.315","","0.00%"
"07-08-2019","4.315","4.315","4.315","4.315","","0.23%"
"06-08-2019","4.305","4.305","4.305","4.305","","0.00%"
"05-08-2019","4.305","4.305","4.305","4.305","","0.70%"
"02-08-2019","4.275","4.275","4.275","4.275","","-0.35%"
"01-08-2019","4.290","4.290","4.290","4.290","","0.35%"
"31-07-2019","4.275","4.275","4.275","4.275","","-0.12%"
"30-07-2019","4.280","4.280","4.280","4.280","","-1.04%"
"29-07-2019","4.325","4.325","4.325","4.325","","-1.26%"
"26-07-2019","4.380","4.380","4.380","4.380","","-1.46%"
"25-07-2019","4.445","4.445","4.445","4.445","","-0.11%"
"24-07-2019","4.450","4.450","4.450","4.450","","-1.66%"
"23-07-2019","4.525","4.525","4.525","4.525","","-0.22%"
"22-07-2019","4.535","4.535","4.535","4.535","","-3.82%"
"19-07-2019","4.715","4.715","4.715","4.715","0.05K","0.53%"
"18-07-2019","4.690","4.690","4.690","4.690","","-1.47%"
"17-07-2019","4.760","4.760","4.760","4.760","","-3.45%"
"16-07-2019","4.930","4.930","4.930","4.930","","8.35%"
"15-07-2019","4.550","4.550","4.550","4.550","","0.11%"
"12-07-2019","4.545","4.545","4.545","4.545","","0.44%"
"11-07-2019","4.525","4.525","4.525","4.525","","0.22%"
"10-07-2019","4.515","4.515","4.515","4.515","","-0.11%"
"09-07-2019","4.520","4.520","4.520","4.520","","0.22%"
"08-07-2019","4.510","4.510","4.510","4.510","","0.00%"
"05-07-2019","4.510","4.510","4.510","4.510","","-1.53%"
"03-07-2019","4.580","4.580","4.580","4.580","","-0.43%"
"02-07-2019","4.600","4.600","4.600","4.600","","0.00%"
"01-07-2019","4.600","4.600","4.600","4.600","","-3.16%"
"28-06-2019","4.750","4.750","4.750","4.750","","0.96%"
"27-06-2019","4.705","4.705","4.705","4.705","","-1.98%"
"26-06-2019","4.800","4.800","4.800","4.800","","1.05%"
"25-06-2019","4.750","4.750","4.750","4.750","","-0.31%"
"24-06-2019","4.765","4.765","4.765","4.765","","3.70%"
"21-06-2019","4.595","4.595","4.595","4.595","","-0.43%"
"20-06-2019","4.615","4.615","4.615","4.615","","1.43%"
"19-06-2019","4.550","4.550","4.550","4.550","","-0.11%"
"18-06-2019","4.555","4.555","4.555","4.555","","-0.65%"
"17-06-2019","4.585","4.585","4.585","4.585","","1.78%"
"14-06-2019","4.505","4.505","4.505","4.505","","0.00%"
"13-06-2019","4.505","4.505","4.505","4.505","","0.00%"
"12-06-2019","4.505","4.505","4.505","4.505","","0.22%"
"11-06-2019","4.495","4.495","4.495","4.495","","0.45%"
"10-06-2019","4.475","4.475","4.475","4.475","","0.00%"
"07-06-2019","4.475","4.475","4.475","4.475","","0.00%"
"06-06-2019","4.475","4.475","4.475","4.475","","0.00%"
"05-06-2019","4.475","4.475","4.475","4.475","","-1.32%"
"04-06-2019","4.535","4.535","4.535","4.535","","-0.11%"
"03-06-2019","4.540","4.540","4.540","4.540","","-2.37%"
"31-05-2019","4.650","4.650","4.650","4.650","","1.09%"
"30-05-2019","4.600","4.600","4.600","4.600","","-2.54%"
"29-05-2019","4.720","4.720","4.720","4.720","","0.32%"
"28-05-2019","4.705","4.705","4.705","4.705","","-0.42%"
"24-05-2019","4.725","4.725","4.725","4.725","0.03K","0.00%"
"23-05-2019","4.725","4.725","4.725","4.725","","0.11%"
"22-05-2019","4.720","4.720","4.720","4.720","","-1.56%"
"21-05-2019","4.795","4.795","4.795","4.795","","-3.62%"
"20-05-2019","4.975","4.975","4.975","4.975","","0.91%"
"17-05-2019","4.930","4.930","4.930","4.930","","-5.28%"
"16-05-2019","5.205","5.205","5.205","5.205","","-5.54%"
"15-05-2019","5.510","5.510","5.510","5.510","","-0.09%"
"14-05-2019","5.515","5.515","5.515","5.515","","-0.18%"
"13-05-2019","5.525","5.525","5.525","5.525","","-0.27%"
"10-05-2019","5.540","5.540","5.540","5.540","","-0.45%"
"09-05-2019","5.565","5.565","5.565","5.565","","0.36%"
"08-05-2019","5.545","5.545","5.545","5.545","","-0.27%"
"07-05-2019","5.560","5.560","5.560","5.560","","-0.98%"
"06-05-2019","5.615","5.615","5.615","5.615","","-0.09%"
"03-05-2019","5.620","5.620","5.620","5.620","","0.81%"
"02-05-2019","5.575","5.575","5.575","5.575","0.53K","1.36%"
"01-05-2019","5.500","5.500","5.500","5.500","","-0.90%"
"30-04-2019","5.550","5.550","5.550","5.550","","0.73%"
"29-04-2019","5.510","5.510","5.510","5.510","","0.92%"
"26-04-2019","5.460","5.460","5.460","5.460","","1.11%"
"25-04-2019","5.400","5.400","5.400","5.400","","1.31%"
"24-04-2019","5.330","5.330","5.330","5.330","","0.00%"
"23-04-2019","5.330","5.330","5.330","5.330","","-1.66%"
"22-04-2019","5.420","5.420","5.420","5.420","","0.00%"
"18-04-2019","5.420","5.420","5.420","5.420","","-3.64%"
"17-04-2019","5.625","5.625","5.625","5.625","","-1.57%"
"16-04-2019","5.715","5.715","5.715","5.715","","19.69%"
"15-04-2019","4.775","4.775","4.775","4.775","","0.00%"
"12-04-2019","4.775","4.775","4.775","4.775","","0.95%"
"11-04-2019","4.730","4.730","4.730","4.730","","0.53%"
"10-04-2019","4.705","4.705","4.705","4.705","","1.73%"
"09-04-2019","4.625","4.625","4.625","4.625","","0.54%"
"08-04-2019","4.600","4.600","4.600","4.600","","-1.08%"
"05-04-2019","4.650","4.650","4.650","4.650","","1.09%"
"04-04-2019","4.600","4.600","4.600","4.600","","0.44%"
"03-04-2019","4.580","4.580","4.580","4.580","","0.00%"
